ERR550643	1291	1397	1266	18
ERR550644	1328	1490	1280	17
ERR550658	1451	2033	1401	23
ERR550659	1516	2301	1469	23
ERR550670	1416	1450	1354	23
ERR550724	1617	1849	1514	23
ERR550738	1432	1621	1366	19
ERR550739	1492	1687	1434	19
ERR550777	1375	1585	1342	23
ERR550778	1420	1565	1372	25
ERR550779	1335	1526	1324	24
ERR550782	1475	2140	1427	23
ERR550783	1480	2117	1427	23
ERR550887	1477	2041	1407	24
ERR550910	1607	1613	1516	19
ERR550927	1438	1747	1361	16
ERR550940	1488	1629	1404	21
ERR550941	1406	1547	1352	21
ERR550946	1402	1566	1344	20
ERR550947	1379	1576	1329	20
ERR550957	1618	1855	1477	20
ERR550984	1482	1974	1418	21
ERR551007	1527	1596	1452	19
ERR551071	1480	1543	1416	19
ERR551079	1472	1697	1411	19
ERR551086	1431	1655	1378	18
ERR551090	1474	1654	1417	22
ERR551155	1453	1665	1378	23
ERR551156	1387	1467	1346	22
ERR551159	1514	1684	1459	26
ERR551167	1400	1459	1365	24
ERR551168	1429	1528	1391	23
ERR551184	1380	1558	1337	17
ERR551185	1291	1465	1262	18
ERR551201	1441	2054	1396	19
ERR551212	1488	1711	1422	23
ERR551214	1284	1368	1247	18
ERR551225	1480	1551	1402	18
ERR551293	1557	1629	1463	20
ERR551305	1487	2285	1421	23
ERR551311	1509	1698	1434	23
ERR551360	1464	1741	1422	23
ERR551361	1420	1570	1378	23
ERR551362	1401	1632	1363	24
ERR551369	1451	1600	1368	18
ERR551370	1426	1589	1355	19
ERR551412	1349	1521	1310	23
ERR551494	1518	1813	1446	24
ERR551520	1604	1598	1496	19
ERR551549	1814	2434	1523	25
ERR551554	1476	1559	1412	23
ERR551556	1435	1755	1400	24
ERR551557	1335	1433	1317	23
ERR551558	1354	1589	1329	21
ERR551572	1437	1597	1364	17
ERR551575	1261	1355	1221	24
ERR551636	1453	1726	1371	18
ERR551638	1494	2223	1402	23
ERR551680	1448	1593	1389	20
ERR551681	1421	1530	1356	19
ERR551688	1421	1476	1373	20
ERR551693	1421	1573	1366	22
ERR551694	1409	1517	1349	22
ERR551772	1605	1857	1495	22
ERR551804	1443	1722	1401	24
ERR551805	1373	1476	1352	24
ERR551806	1395	1557	1357	24
ERR551821	1476	2098	1429	24
ERR551822	1502	2189	1440	23
ERR551854	1353	1511	1317	19
ERR551855	1423	1571	1365	19
ERR551879	1485	1590	1417	19
ERR551927	1389	1492	1337	20
ERR551928	1423	1540	1361	20
ERR551930	1502	1776	1434	19
ERR551934	1586	1625	1500	19
ERR551943	1256	1339	1239	21
ERR551944	1446	1580	1377	23
ERR551945	1449	1537	1405	24
ERR551956	1443	1602	1391	24
ERR551957	1418	1567	1358	24
ERR551977	1377	1523	1332	18
ERR551978	1414	1548	1359	19
ERR551979	1139	1196	1118	15
ERR551980	1295	1456	1272	18
ERR551981	1247	1304	1204	17
ERR551982	1353	1483	1312	18
ERR551983	1061	1116	1041	15
ERR551990	1561	1685	1485	19
ERR552090	1580	1665	1491	22
ERR552130	1488	1577	1431	20
ERR552136	1517	1687	1429	24
ERR552141	1452	1569	1402	26
ERR552177	1465	1622	1402	19
ERR552190	1539	1588	1463	19
ERR552194	1534	2218	1452	23
ERR552219	1441	1619	1366	23
ERR552331	1484	1631	1407	19
ERR552358	1498	1753	1440	24
ERR552429	1488	1640	1432	26
ERR552444	1394	1622	1362	18
ERR552445	1343	1579	1304	18
ERR552479	1779	1833	1636	25
ERR552482	1549	1987	1461	25
ERR552493	1501	2251	1441	21
ERR552494	1479	2021	1436	21
ERR552549	1436	1603	1355	20
ERR552550	1387	1437	1338	20
ERR552555	1487	1702	1419	21
ERR552580	1489	1732	1426	25
ERR552668	1304	1419	1291	23
ERR552669	1269	1504	1248	21
ERR552670	1419	2009	1392	22
ERR552671	1440	2160	1393	21
ERR552689	1423	1533	1375	20
ERR552690	1211	1268	1176	18
ERR552743	1431	1561	1375	19
ERR552755	1422	1694	1355	18
ERR552760	1452	1741	1368	18
ERR552787	1484	1872	1410	19
ERR552830	1436	1626	1379	19
ERR552838	1455	1596	1395	19
ERR552894	1431	1559	1365	20
ERR552895	1337	1440	1307	19
ERR552907	1504	2057	1425	24
ERR552910	1443	1531	1406	22
ERR552911	1424	1545	1383	21
ERR552912	1513	1630	1437	18
ERR552939	1497	2482	1457	23
ERR552940	1556	2261	1510	23
ERR552949	1420	1606	1370	21
ERR552954	1467	1618	1404	21
ERR553068	1470	1624	1390	24
ERR553081	1395	1544	1357	19
ERR553082	1444	1679	1385	17
ERR553086	1575	1638	1482	19
ERR553098	1523	1948	1426	24
ERR553107	1446	1629	1396	24
ERR553116	1475	1604	1386	20
ERR553139	1493	1783	1429	23
ERR553156	1411	1552	1375	18
ERR553157	1355	1507	1325	19
ERR553171	1497	3051	1439	19
ERR553237	1487	1708	1414	22
ERR553251	1602	1810	1496	25
ERR553274	1398	1652	1330	18
ERR553275	1334	1479	1289	18
ERR553277	1471	1623	1402	20
ERR553291	1468	1635	1398	19
ERR553303	1320	1386	1298	26
ERR553304	1388	1467	1346	26
ERR553313	1502	1710	1414	24
ERR553324	1477	1556	1415	19
